rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5.0,Love them.,Love them.  Pockets very deep.  Thought they were going to be hot because of the texture-but not hot.  Very soft!,[],B07F97N85W,B084TBSL2C,AEHOIONUYAZD7CYWRBWEIY77MEKQ,1561909670300,0,True
4.0,Does the job,"Does a good job of being a desk in a small space. Slide out keyboard shelf broke almost immediately, but I was able to fix it. Its a bit short and I plan to raise it up, but it fits the small space and looks nice. Does not react well with water or condensation off glasses(surface bubbles and paint comes off), but overall it works and I like it.",[],B00E3V3YX2,B09XDSF8VV,AFNGBJK6SVNQSR6CVFNVZFAUVAKA,1611524851654,0,True
2.0,Does not work well,I liked that this item was invisible once applied. Followed the instructions on the packaging. Cleaned showers throughly and I am OCD so it was cleaned and rinsed well. Read instructions twice to be thorough. Application was easy. Make sure to go over strips several several times for a good adherence to the surface. However after only two bathes they started peeling up and would be floating in the tub. Also very scratchy on bum.,[],B09K3XSWRM,B09K3XSWRM,AGPUPDZ6FCJXBVL6HHZKP2NTS3LA,1641833345587,1,True
5.0,Great product,The product was exactly what I needed. Great quality.,[],B07F6QPR54,B07F6QPR54,AH3DRCHBMN3VKHE33ONIHDM7EA3A,1573642345857,0,True
5.0,So comfy with your comforter. Doesn’t wrinkle after washing.,This is my favorite duvet cover!  I won’t sleep in anything other than 100% cotton. Did not wrinkle when I washed it for the first time and put it in the dryer. Very comfortable with your comforter.,[],B07J4M9LRJ,B07J4PBM9V,AHNDUGQI6QSCLNWKY47U3UZV5AEA,1574313699229,0,True
5.0,Fits our cabin guest bath perfectly!,Lovely design! Soft & absorbent. Good value.,[],B008NMOLIY,B09XY9M1GY,AFUEPXJFNYRODDBUWSN5Y6DRFNQA,1657045512895,0,True
5.0,Superb espresso machine for the price,"We researched other espresso machines and chose the DeLonghi EC702 due to price and design.  It heats up quite quickly and does an awesome job.  Great frother great tasting espresso.  Easy to learn and easy to use.  Of course, it isn't the highest priced espresso machine but for the price we are quite happy.  Smaller footprint for the counter, but that's a good thing.",[],B001CNG7RY,B0BFZRSBP7,AEQR45LTFA5S2WNU7GGNIXDFPA4Q,1419223090000,1,True
4.0,It's good. Holds a couple shots.,Little pricey but it's what I wanted. Small flask to hold a couple shots.,[],B00CA1GD9O,B00CA1GD9O,AEC7TDXXZQEAUNF5L2AZKBV3ZXDA,1647195504164,0,True
5.0,Narrow space shelving,"This product was as advertised.  I miscalculated the measurement when I ordered the shelving unit, and it was too narrow for my purpose.  It is a nice unit for the size, however it probably would be best used with the support of a wall.  Due to the narrow, high measurements, it is not sturdy enough as a stand-alone, in my opinion.  It was very easy to put together with no tools.  I believe it would be very serviceable if used properly.",[],B07D6SX2GH,B07D6SX2GH,AEYUW4QSW43ZCNY3KFRMD75BXKYQ,1549674212511,0,True
5.0,Quick setup,Easy way to spray olive oil on veggies before roasting. My daughter recommended it & it’s a convenient gadget for the kitchen.,[],B00004SPZV,B09MN4KW9C,AGEJHK2OOWBWRTCZQCVTPC4HJ3XQ,1640030284806,0,True
5.0,Great product,"This is a great product, I have used it on my curtains . Easy to use, fast and did not burn myself at all!  Lightweight and easy!",[],B01N1QE5ME,B0BDDPGF7N,AFC3LCWJNTWQPYVD6PH3TBJHPENA,1646764580117,0,True
1.0,"Cheap, do not buy this. Hot to sleep on. Impressions","We have had this topper king for only 1 month.<br />There are impressions already where my husband and I lay.<br />I'm so disappointed!<br />It's also very uncomfortable,  VERY HOT . I DO NOT RECOMMEND THIS PRODUCT.",[],B075MRNL79,B09HN8WPRW,AGWRTQIJ5FAWSGDOA5QLJVZRTE4Q,1600253092698,4,True
5.0,Best wooden spoons set,These wooden spoon set is light weight as well as durable. Best purchase I’ve made toward a cooking set of spoons.,[],B0989G1P8J,B0989G1P8J,AFVHKGR7333TQPDJBPRXC7Z64MGA,1657652163818,0,True
3.0,Shrinks bad when wet,I decided to go with this product for the value of the money. I didnt realise that it would get very small when wet. It shrinks to half its size when wet. Even after washing in washing machine it is half its size. It can be stretched back to its regular size but it is such a hassel keeping it in your hand when taking a bath and its shrinking. I am looking for a larger one and maybe if it shrinks I wont have to fight with it.,[],B00LGLOKLM,B0BMQTXVJ5,AH6KFH6JKP6ZK76HSGQZS7PLBOXA,1577290924360,0,True
5.0,It really works! It removes stain very well.,It really works!  It removes stain very well.,[],B0126C9A5K,B087HGJJSQ,AFMOKEL6NR2KKQP32FOPGRK56BTQ,1504287468936,0,True
5.0,Beautiful,Beautiful worth paying,[],B0B6GRTGJG,B08F92Q1YT,AFCYAH3E2M6YPG5FBY6ZJN7HDHWA,1671059862691,2,True
5.0,Great value,This was great value for my low budget needs.  Better ones out there but this price hard to beat after searching awhile.,[],B07T9LDWD1,B09B6MCGY2,AFY5H4VKGO4IFKCOZ47BZMCMZ7GQ,1608253762531,0,True
5.0,Love this!  Not just for kids.,"I’m 75 years old with multiple joint replacements and it’s been harder and harder to get up into bed. Then I got this idea and it’s wonderful. Doesn’t slip all on the hardwood floor, and is simply well-made.","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1mm3kkSXcS._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1mm3kkSXcS._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/C1mm3kkSXcS._SL256_.jpg'}]",B0039MIUXA,B08X8DXQ5M,AEGJH4BTNK5VLSITFVEW532EI76Q,1607727869309,0,True
5.0,Love it!,This looks great in our bedroom and I love that we actually sort our laundry now. The only problem is that the velcro that holds the bags together inside completely ripped off after about two times of pulling the bags out (not that it really makes a difference). I'd recommend the hamper if you're considering buying one.,[],B00A4NOQJO,B08S582942,AGRFAW4JOXVJPGXAZ2BLFDMCTV5Q,1397232195000,0,True
5.0,Fast relief,Worked wonderful,[],B074DWGBH5,B0BY2FL3ZX,AGNQ42TAJ6ACAH47GBCTG4UNJXYA,1579897827861,0,True
1.0,Horrible quality,Have only had these towels for 24 hours and they are already becoming undone,[],B00GQP0XTQ,B0BGLZXZQ6,AFSI5UDUXLXNOOCNSWJ5TKKAH5AA,1679783529470,0,True
5.0,Realistic,Beautiful and realistic,[],B07M9NR6Q8,B07RRWWVPF,AHMH5OBTYFLYHE4R3OKECXF6L6EA,1617677898274,0,True
5.0,May the force be with your sushi!,"LOL.  What can I say, if you like sushi and Star Wars then this is for you.  Just a blast!!!",[],B003GXF94U,B003GXF94U,AHREYXKVN2WWPNHOD5PAUODOUXQA,1367241715000,0,True
2.0,"Design flaw, seat support broke","The fiber board seat spport broke in half within 3 months. Assembled easily, looks good, but must have a design flaw in the force of the seat.",[],B072HYJBSM,B072316C67,AHUVYSWFODFL6JZKEXL3BSUM2HSA,1569192671586,0,True
1.0,Makes bitter coffee.,The coffee is Just bitter when I use this. It’s terrible.,[],B008YS1WXE,B008YS1WXE,AGGEUDWPUX2MHQDBXTABQPUJCTOA,1614852462274,0,True
5.0,Five Stars,This mold is absolutely beautiful.,[],B014QI46P6,B014QI46P6,AHEIHUEHKW4FPI2R47UGPVPCSGGA,1485520057000,0,True
5.0,Bookcases,The bookcases came on time and we're just the  right color and went great in our family room.  They are very well built and would recommend them to anyone .,[],B0030HIJ4Y,B07GZL1G35,AHK5453PH3OED4GQBSEV6HJ3OXBA,1466952102000,3,True
5.0,Nice,Base is very sturdy and strong.<br />Had some trouble with aligning as the knobs/hinges  were a little tight but my husband helped me with some straightening . Looks good. But the durability of the wood I am not sure also not sure if it is scratch /stain resistant. Bought it for my home office.  For now I am pleased with it.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ulc55UkjL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ulc55UkjL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71ulc55UkjL._SL256_.jpg'}]",B075KJPRC4,B075KJPRC4,AHL7PFUESXOPHFKT62N7FKPRZH7Q,1532290354831,0,True
5.0,Great.,Great and easy to use,[],B07QX4N4ZN,B0C5T33WLY,AHJCTDB3VD65ERCJTMDHNIW7R4AQ,1608919779080,0,True
5.0,Perfect for everyday wine drinking!,Beautiful and sturdy. Dishwasher safe. What more can you ask for?!,[],B015OSB0E2,B09NFHPZ36,AE6RSOBHQJW7LEP562SLA2O6DJZA,1576003321346,0,True
1.0,These are awful,It’s fun trying to get ice out of this and getting like five at a time and having to twist and turn it nonstop to maybe get five more and then by the time you get all of them out the ice you already put in the glass is melted. What an ordeal.,[],B08XH663GH,B08XH663GH,AFZRPIANM2NBRREW4JRE5F7746NA,1646120644081,0,True
1.0,no better,no better than cardboard  flimsy,[],B00563202M,B07R6TNTP3,AEOITXHD5KFFFN2G3VFOXPV5B5ZA,1562276252565,0,True
5.0,Best shoe storage ever!,Holds all my shoes perfectly!,[],B075CHGW59,B075CHGW59,AFOJQ3JHBQZGBFM4VY5WGLJFR2JQ,1577045642534,0,True
1.0,Weak Immersion blender and noisy,"Immersion blender is wo weak. Just after 2 months its broken. U just use for this for my baby puree food, not even use for hard stuff like ice or nuts! For the first time use, it was quite, but 3 times usage later noise is getting worse, soooo loud..i dont know how to replace immersion blender :(",[],B076BRPNJ1,B0C5K1MF9X,AGZDFCIVH4DMKKE4XWLPWSSEBWPA,1540525922583,5,True
4.0,"Fits fine, just beware to read the description: has no illumination","Easy to adjust to fit head, I had no problem adjusting it to my large head.  The long rectangular lens in the front works great, the view & clarity of what looking at is the equivalent of looking through a dissecting scope, without the illumination.  Be aware this has no illumination with it (understandable because this item is so inexpensive), so you'll need to be using it near a bright light. I doubt I could get accustomed to using the monacle round lens,  But the long rectangular lens in the front is sufficient.",[],B0009VYPK6,B0009VYPK6,AH6UBP6YOEDB3V43NYE2FGHBHEJA,1404898004000,0,True
5.0,Fantastic Knife,"This knife feels great in your hands and cuts like a dream. The weighted full tang handle ensures that the knife always feels balanced in your hands, and it is up to the task of heavy duty work in your kitchen. With this knife I can easily break down a chicken for pan fried chicken, it's delightful.<br /><br />This knife holds an edge well, so with proper maintenance this knife will last a lifetime.<br /><br />I would buy it again",[],B0009J3P8Q,B0009J3P8Q,AGZHHCED3VT4A3KQUPGMXUHGZQDQ,1364649397000,0,True
5.0,Best. Scent. Ever.  (IMO),Bought the small to try it; absolutely adore the smell.  I have to put this at the top of my list even above autumn leaves!  Will be buying larger candle for sure.,[],B07D39L4Z8,B07R4PQX6X,AGJMR7MIWSIGTHP2BKXA7OCDOB4A,1582414403718,1,True
3.0,Cute little thing,"Cute teapot for one, not suitable for sharing  if you like a proper mug full of tea as you will only get one and half out. Really was tinier than I expected. Would be great if they had a 2.5l option now that would be lovely. 10 points for cuteness, 5 for size but then again it IS 800ml","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61YrzrLcNBL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61YrzrLcNBL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61YrzrLcNBL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71XpnkGsuzL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71XpnkGsuzL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71XpnkGsuzL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71tc48P9RAL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71tc48P9RAL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71tc48P9RAL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81WfFIOwhAL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81WfFIOwhAL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/81WfFIOwhAL._SL256_.jpg'}]",B00ZOLU1VI,B09S5P8DQ4,AGRZSHNQW2NWDB2AQXO7TRZRTX6Q,1555069069340,0,True
1.0,Not try to description,After weeks of searching I decided this stool pair would be great for the price and it’s tall. Most of all the weight capacity. They item I’d like cardboard. Very light weight. If you’re over 150lbs this wouldn’t be a good option other than decoration. The metal bends easy. My fault for buying two pair. I’m finally trying to return one pair since I put one of them together.,[],B09NNLX8LT,B0BZCVFJN5,AGQVMXR2RRCXVCZNMMFB3OAFR2AQ,1687048671641,0,True
5.0,Love it,Never knew I needed this until I got one. Beats using a cup. I love it! So easy to use and clean.,[],B0788G8H6V,B083K8YJGN,AFZPCDYW3UJT5CW3HZK2RAKTQEAA,1643224162818,0,True
1.0,Not sweat proof and sounds swishy,Not waterproof or stain proof at all. After 2 years of use mattress has stains from sweat. Also feels like plastic and moves around at night,[],B00MW50EDY,B0B5235P58,AH7YCN5TBR7JKYLCFFOHQ7MYWYUQ,1566237344999,0,True
4.0,Nice quality,"Nice quality, love the fact you get 2 heart molds I have not use them but will update after I do. Excited to see what I can crest with these.","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/81CtsB7BbML._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81CtsB7BbML._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/81CtsB7BbML._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/81VKAfx4ZXL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81VKAfx4ZXL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/81VKAfx4ZXL._SL256_.jpg'}]",B09KRTCXH2,B09KRTCXH2,AFIY4QKQCLBBLFZ2RKA76Q2Z4KFA,1643824207151,0,True
5.0,Pretty!,My girls love these on their wall.,[],B07RBD5PVN,B07RBD5PVN,AFJMD4MAUGDZNP4U3LBGHWN3WMRQ,1616379590310,0,True
1.0,this item came all broken and is a piece of garbage,not worth 1 dollar this is the second item that has come all broken,[],B081SHJZCH,B0C65Q75C5,AGQ24MNDVKPDCX24ARG6PPBETJDQ,1590092192269,0,True
1.0,Little rug. I thought it was bigger,It covered just enough area for my feet. I was misled by the photos presented,[],B00TFBQBTO,B08VW13K4G,AFIS5JNB6L2ZRBSRV6JS6C2URDHA,1650158643410,0,True
1.0,Not rust resistant,These rusted in less than 6 months.,[],B0042ZB1YI,B0BZ5N3LZL,AFDS73HXZVLXXXF45KGYN5EYZACA,1571505745408,0,True
5.0,"simple, easy, cute","This is a great basic mini rice cooker. Small and easy to carry for lunch at work. Consistently cooks rice well after many uses, and very easy to clean. A perfect gift for the guy who has to have rice with every meal.",[],B09FJS2LDX,B09FJS2LDX,AHA6CUOZHSKY7IQRSQFCXVV3DLYA,1639428883776,0,True
3.0,Sofa,This sofa is very hard. Even though I like the look of the sofa I would not purchase it again.,[],B077FR9ZS8,B07D3NR66X,AFIEDOI22LZ6VHA766IZLC74VRXA,1688053234454,0,True
5.0,Much better than I expected,"Much better than I expected. It makes my cheapo, water stained plastic veneer table top look like a wood table.",[],B01EVNVRZ8,B078M58CVT,AFNZSOKLJ7IX3LOBVRSFETXAAFIA,1520997403882,0,True
4.0,Four Stars,Not for dolce gosto,[],B00KNPJ378,B0BQG36KCM,AGLJ7KKX3LV6UDWIV7YAV6M7IW4Q,1457342626000,0,True
5.0,Can do!,Great for organizing.,[],B06ZZ3L8GN,B07FDP1B6B,AEFQG2NEH7TAQZTDJWWBMKKMUJ7Q,1611019335570,0,True
5.0,Perfect Fit!😊,"Fits perfectly, easy to put on. Great fabric, like soft suede! Love the look, not sloppy looking. Better price than similar cover I purchased in a department store. My recliner is a big chair, and it fits like a glove with plenty of stretch. Very nice looking cover! My camera did not give true color, true color is beautiful teal, like in advertised description, but you can see the nice fit😊","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/718PsSkQOHL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/718PsSkQOHL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/718PsSkQOHL._SL256_.jpg'}]",B08BY8MLQR,B08BY8MLQR,AGMRLMFLHTVAAPYAZMIPVMV452CA,1641849241600,0,True
5.0,best coffee maker,flavor of coffee better than starbucks,[],B07B83DGMV,B08Q6HHLHX,AF2LPD6UCA2S667O52C34KKARTWQ,1579238609105,0,True
5.0,Quality,5 stars,[],B07V23KX9K,B0C4FWD4DB,AEPFSONI7I3BPEEIDXAGEPCMQL3A,1615123684817,0,True
5.0,Five Stars,Fits into an alcove in my Grandson's room perfectly. I used Quakehold straps to secure it to the wall!,[],B00CJUPCS4,B07CFWDN5W,AEEYB7VPWJPPEURP5Q3WW2OW4SPA,1432468792000,0,True
5.0,Great buy!,"I bought the 14” stockings. Perfect size, love the knit feel. These are good and chunky. Absolutely can’t beat this deal! Perfect addition to my decor this holiday season.","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/71phE9XdGhL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71phE9XdGhL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/71phE9XdGhL._SL256_.jpg'}]",B07HR8GBH6,B08PYWWNQT,AHISVNFLNRMTTW6CKSFT3W5HTVYA,1671325815631,0,True
5.0,Not really a toy,I consider item more of an ornament than a toy.  As an ornament it is very nicely done and granddaughter was pleased to receive it we plan on making a special tree at christmas with all her barbie ornamets,[],B000JNVKGG,B000JNVKGG,AG4FFFFBLXORGA5JMHKUXMP4SPVQ,1320093835000,0,True
4.0,I like the height,"Seems wobbly. I like the height, look, and ease of this frame. But yes it does sway some when one person re-positions it wakes the other up. We will have to find a way to fix this either by anchoring it to wall or a headboard somehow. I have the king size frame.",[],B017YETI16,B0BZJP9VGZ,AGXZAVWGMDPBG7DX5MX4CIIFOAUQ,1475596370000,1,True
1.0,Junk construction,Put four new batteries and nothing worked.  It was total inferior construction; should not even be marketed at all.,[],B00MIFOJMK,B0BT55Z39M,AFZF55ZXSRQYCQ6RCB77C7GQBBDQ,1661771438450,0,True
5.0,Softness,The only dislike was how small they were,[],B08MSYMP9N,B08MSYMP9N,AFWAJCI23MRCQTWRB26F5SHSGRJQ,1649856698304,1,True
5.0,Nice and light,This comforter is a little thin but my son really liked it. It is reversible too so that is nice. It arrived within a week!,[],B00Q7OFEM2,B00U8QGU32,AH7VREW7QLTH4KB42CCNGSGNMWEA,1448061066000,0,True
5.0,Leaks a little when pouring,Works great.  Leaks a little sometimes when pouring,[],B076JKRBCF,B076JKRBCF,AF3GZW2FNHIQYOIVIQTSJVKZYYHA,1542571097390,0,True
5.0,Great Little Timer,"I've only used this little timer a couple of times but so far it works like a charm.  I'm hard of hearing and do not always hear the oven bell when I'm not in the kitchen, so I carry this little thing with me to wherever I need to be in the house.  It is very simple to operate, the numbers are large and the bell loud and clear, but not annoyingly so.  Can't beat the price either.",[],B00GOPICNM,B08LQVL2WL,AHKZBC6XFGNAASFIOMY4D7OZUDDA,1438003950000,0,True
5.0,Cozy,Omg so cozy soft don’t pass this one up,[],B07JX4S5QT,B07JK685ZX,AEM7UZ4IOMPWK7B63LZNX255OIQQ,1624418701968,0,True
5.0,Glam up the apetizers,Used for apetizers for my daughter's 16th birthday the girls loved the rhinestones,[],B07G8Z4PD9,B07G8Z4PD9,AGPCAJH756QUET5IASJF3YTW5MSQ,1573612361969,0,True
5.0,Sturdy,Love this super spacious also,[],B0722C3PVH,B0722C3PVH,AGXMASLY32ZVGUNMPYAQK334AFJQ,1616818244777,0,True
5.0,Five Stars,Great bags. Great price,[],B000YYVK7Y,B00P8FTHFG,AGAZQDXSKPGW7D3IK5XNS4TLBQTQ,1424891014000,0,True
5.0,Wife loves them,Great set,[],B01MS4K2UA,B097VN9J9F,AG5JNYE66DTYTNDP5SGPB5POC64Q,1599795097476,0,True
5.0,Great curtains,Curtains are being used in a bedroom. I love the color and length of curtains.,[],B07RTH5WNB,B09C7NHFKT,AGSL55DUU2J2TBKRA57N4SVY7AUQ,1585537584601,0,True
5.0,Love it,Very pretty pink. Very full. I got two sets and then they sold out lol if it ever comes back in stock I would order more,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/61fQCxWwbmL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61fQCxWwbmL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/61fQCxWwbmL._SL256_.jpg'}, {'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/71Lncf+e54L._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71Lncf+e54L._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/71Lncf+e54L._SL256_.jpg'}]",B09WN5GY14,B09WN5GY14,AFS5KJKFO45DEX56KUF6BEQJO3DA,1663619706232,0,True
5.0,Five Stars,Quality Product!,[],B00UIVIXVO,B0BVGMZSY4,AEJGFZ37QZ3O6LPBTED6UGSJMKQQ,1489093301000,0,True
5.0,... oven to make a beef stew and it came wonderful. very easy clean up,"Used the Lodge dutch oven to make a beef stew and it came wonderful. very easy clean up, run under water and mild detergent.",[],B0039UU9UE,B0BNPW9K5S,AEIHEMR54TBMNNS2N2MSSI6UKWYA,1420140298000,0,True
5.0,Highly recommend,Worth its purchase price... Super sturdy and easy to assemble.,[],B07PWBVQ1J,B0BR4DQMMS,AGY6AOBCUOIG5KQDZRX52YTM376A,1622138009773,0,True
5.0,Excellent,"Product was OK, great service",[],B07D28YY33,B07D27X5FF,AGNEEUKHTN3AB72FDNU55LURPO7Q,1556671462006,0,True
1.0,"Cheaply made, skip it","I loved this thermometer right up until it broke three months into using it. Best as I can tell, the circuitboard just came unglued from the battery. I never dropped it or abused it, just cheaply made.",[],B0188XZBMC,B087YVHWHV,AGGILAPIEDHIDW6ICZVKGRNWSDBA,1528403796962,0,True
1.0,Ineffective because they don't stay fixed to the window!,"The windows were washed and wet when the decals were applied. The next morning, most had fallen. Use the kind that don't require we application. They stay on!",[],B08J7VMKZG,B0B3CT972D,AEPNTK4JZ2E5USCBRVCALU2LJLOQ,1651338386833,0,True
1.0,They burn,"I almost burned the kitchen up. Please do not buy, they are a waste of money. Thank God I have a smoke detector or the kitchen would have been on fire",[],B0B5THSGXY,B0B5THSGXY,AH2Z57V5PEBE2HBMYYDLYXO6JJHA,1670856445581,0,True
4.0,Great bag bit not worth the price,Great storage bag but the price was too high.,[],B07DXZNS16,B07DXZNS16,AGRK7FBFUUKTQIWYSGPZA4JWSZCA,1574363264052,0,True
5.0,Great value and pretty color,"Perfect for my teenagers queen size 18"" bed. A bit loose but it works great to keep the corners on. Nice dark gray color.",[],B07LDTB9BX,B093CWR74T,AGF7SAIG44Y6BECYGTKHARVB4IYQ,1563556898162,0,True
5.0,Well made Halloween fabric banner.,I am really impressed with this banner. It is very well made and the thickness of the fabric is wonderful.  I also sent one as a gift because of the quality.,[],B08GYNK6V7,B08GYNK6V7,AHQZLW625GYANXS6G7YWJT4PGTOQ,1645148583740,3,True
5.0,I have been unable to find a tub stopper for ...,I have been unable to find a tub stopper for years. This one works! Now my grandchildren can take a bubble bath without having to have the water leak out.,[],B0038JE650,B08D4QDPNW,AGP3T6O5DO7M5IQXAFLB7WQTIUWA,1417893482000,0,True
5.0,Well made and good looking.,A very nice looking set. I like the lids to keep the salt and pepper fresh. The different grinds is nice to have though I still am figuring that part out.,[],B01N33U6Y5,B01N33U6Y5,AETFVMNORJDTSTWMKQLV6PWJ4YLA,1517991415811,0,True
5.0,Loved,Great decorations for our graduation parade due to Covid,[],B07MHFPMFD,B07MHFPMFD,AHYHEN6BTLZXLZ6UVEZXK2A3BSMA,1590522236874,0,True
5.0,Beautiful. As pictured.,"This tapestry is beautiful. Bought it to hang I my daughter’s wall. Bold, rich colors.",[],B078X8Y5QF,B07R7MJW25,AHCQYR3N2DQFF4QW4YW5IZQWFIXA,1561870139937,0,True
